City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
567,Sardinata,CO,74.88,8.0829,-72.8007,Hotel El Turpial
568,Lakshmipur,BD,76.37,22.95,90.8333,Khalekgonjo Sufi Rowson Ali Dakhil Madrasha
569,Atar,MR,64.69,20.5169,-13.0499,Oumou Elghoura
572,Dhidhdhoo,MV,81.27,6.8833,73.1,Dhidhoo beach
573,Pouebo,NC,80.96,-20.4,164.5667,RIVÂT LODGE
575,Guerrero Negro,MX,61.68,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
576,Eha Amufu,NG,69.19,6.6592,7.7596,Eden Resort
577,Baudh,IN,74.88,20.8416,84.3213,Hotel Parijat Palace
581,General Pico,AR,70.47,-35.6566,-63.7568,Euskadi Hotel
582,Broken Hill,AU,79.2,-31.95,141.4333,Royal Exchange Hotel
583,Karratha,AU,88.21,-20.7377,116.8463,ibis Styles Karratha
584,Taketa,JP,63.79,32.9652,131.3785,Cue Hostel
585,Alyangula,AU,88.41,-13.8483,136.4192,Groote Eylandt Lodge
586,Tecoanapa,MX,77.18,16.5167,-98.75,Hotel Manglares
588,Dengzhou,CN,60.4,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
589,Pilar,BR,71.53,-9.5972,-35.9567,Pousada e churrascaria Manguaba
590,Puerto Madero,MX,79.7,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
591,Cefalu,IT,63.75,38.0386,14.0229,Hotel La Giara
593,Itaobim,BR,68.38,-16.5667,-41.8333, 
596,Lakeside,US,64.96,30.13,-81.7682,Whitey's Fish Camp
598,Dumabato,PH,86.04,16.3167,121.7,JBT Mountain View & Recreational Place
600,Gorom-Gorom,BF,70.99,14.4439,-0.2361, 
601,Porto-Vecchio,FR,60.46,41.591,9.2795,Hôtel Le Goéland - Casa Santini
603,Sawtell,AU,77.02,-30.3833,153.1,The Bungalow Sawtell
604,Acajutla,SV,78.49,13.5928,-89.8275,CASA DE LA PERRA
607,Mayor Pablo Lagerenza,PY,71.85,-19.9309,-60.7718, 
608,Kupang,ID,88.38,-10.1667,123.5833,Hotel On The Rock by Prasanthi
612,Cururupu,BR,75.97,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
614,Luanda,AO,77.0,-8.8368,13.2343,EPIC SANA Luanda
616,Progreso,MX,77.11,21.2833,-89.6667,Playa Linda Hotel
618,Gurupi,BR,71.44,-11.7292,-49.0686,Via Norte Hotel
619,Xiangfan,CN,64.56,32.0422,112.1448,Xiangyang Wanda Crowne Plaza
621,Moro,PK,75.88,26.6646,68.0016,JAMEEL AHMED LANGAH
622,Swan Hill,AU,74.34,-35.3378,143.5544,Lazy River Motor Inn
623,Honiara,SB,86.07,-9.4333,159.95,Heritage Park Hotel
624,Trincomalee,LK,80.53,8.5711,81.2335,Welcombe Hotel
625,Riohacha,CO,75.29,11.5444,-72.9072,Hotel Taroa
